city,lat_long,lat,lon,weather_json,temp,humidity,cloudiness,wind speed
bathsheba,"(22.254293558441702, -45.658419320585125)",22.254293558441702,-45.658419320585125,"{'coord': {'lon': -45.66, 'lat': 22.25}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 76.29, 'pressure': 1033.64, 'humidity': 100, 'temp_min': 76.29, 'temp_max': 76.29, 'sea_level': 1033.76, 'grnd_level': 1033.64}, 'wind': {'speed': 6.73, 'deg': 83.0035}, 'clouds': {'all': 0}, 'dt': 1529434574, 'sys': {'message': 0.0312, 'sunrise': 1529396357, 'sunset': 1529444946}, 'id': 0, 'name': '', 'cod': 200}",76.29,100,0,6.73
flin flon,"(58.50456773977308, -101.35958686945862)",58.50456773977308,-101.35958686945862,"{'coord': {'lon': -101.36, 'lat': 58.5}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 60.72, 'pressure': 989.29, 'humidity': 67, 'temp_min': 60.72, 'temp_max': 60.72, 'sea_level': 1032.5, 'grnd_level': 989.29}, 'wind': {'speed': 8.75, 'deg': 135.504}, 'clouds': {'all': 20}, 'dt': 1529434575, 'sys': {'message': 0.012, 'country': 'CA', 'sunrise': 1529401012, 'sunset': 1529467034}, 'id': 5909245, 'name': 'Brochet', 'cod': 200}",60.72,67,20,8.75
quatre cocos,"(-18.797853544709326, 61.593589681424675)",-18.797853544709326,61.593589681424675,"{'coord': {'lon': 61.59, 'lat': -18.8}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 76.56, 'pressure': 1032.91, 'humidity': 100, 'temp_min': 76.56, 'temp_max': 76.56, 'sea_level': 1032.87, 'grnd_level': 1032.91}, 'wind': {'speed': 14.79, 'deg': 94.0035}, 'clouds': {'all': 48}, 'dt': 1529434576, 'sys': {'message': 0.0032, 'sunrise': 1529375108, 'sunset': 1529414707}, 'id': 0, 'name': '', 'cod': 200}",76.56,100,48,14.79
bafata,"(12.506574432216894, -14.74646906559326)",12.506574432216894,-14.74646906559326,"{'coord': {'lon': -14.75, 'lat': 12.51}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 96.8, 'pressure': 1010, 'humidity': 37, 'temp_min': 96.8, 'temp_max': 96.8}, 'visibility': 10000, 'wind': {'speed': 6.93, 'deg': 220}, 'clouds': {'all': 0}, 'dt': 1529431200, 'sys': {'type': 1, 'id': 6160, 'message': 0.0038, 'country': 'GW', 'sunrise': 1529390080, 'sunset': 1529436384}, 'id': 2375167, 'name': 'Bambato', 'cod': 200}",96.8,37,0,6.93
vestmanna,"(64.22874525168444, -8.216963637342502)",64.22874525168444,-8.216963637342502,"{'coord': {'lon': -8.22, 'lat': 64.23}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 45.15, 'pressure': 1014.99, 'humidity': 100, 'temp_min': 45.15, 'temp_max': 45.15, 'sea_level': 1014.99, 'grnd_level': 1014.99}, 'wind': {'speed': 28.43, 'deg': 295.504}, 'rain': {'3h': 0.18}, 'clouds': {'all': 92}, 'dt': 1529434578, 'sys': {'message': 0.0036, 'sunrise': 1529373484, 'sunset': 1529449856}, 'id': 0, 'name': '', 'cod': 200}",45.15,100,92,28.43
iqaluit,"(62.93490650984714, -69.30376743682855)",62.93490650984714,-69.30376743682855,"{'coord': {'lon': -69.3, 'lat': 62.93}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 51.8, 'pressure': 998, 'humidity': 50, 'temp_min': 51.8, 'temp_max': 51.8}, 'visibility': 24140, 'wind': {'speed': 9.17, 'deg': 320}, 'clouds': {'all': 75}, 'dt': 1529431200, 'sys': {'type': 1, 'id': 3600, 'message': 0.0039, 'country': 'CA', 'sunrise': 1529389847, 'sunset': 1529462811}, 'id': 5992095, 'name': 'Kimmirut', 'cod': 200}",51.8,50,75,9.17
nogales,"(31.3095698837394, -110.66628915854733)",31.3095698837394,-110.66628915854733,"{'coord': {'lon': -110.67, 'lat': 31.31}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 87.8, 'pressure': 1019, 'humidity': 9, 'temp_min': 87.8, 'temp_max': 87.8}, 'visibility': 16093, 'wind': {'speed': 9.17, 'deg': 210}, 'clouds': {'all': 1}, 'dt': 1529431080, 'sys': {'type': 1, 'id': 320, 'message': 0.0034, 'country': 'US', 'sunrise': 1529410719, 'sunset': 1529461794}, 'id': 5553366, 'name': 'Beyerville', 'cod': 200}",87.8,9,1,9.17
rikitea,"(-68.12925229795269, -127.66169894990313)",-68.12925229795269,-127.66169894990313,"{'coord': {'lon': -127.66, 'lat': -68.13}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 17.79, 'pressure': 1011.83, 'humidity': 77, 'temp_min': 17.79, 'temp_max': 17.79, 'sea_level': 1011.83, 'grnd_level': 1011.83}, 'wind': {'speed': 19.48, 'deg': 9.00354}, 'clouds': {'all': 0}, 'dt': 1529434580, 'sys': {'message': 0.0032, 'sunrise': 0, 'sunset': 0}, 'id': 0, 'name': '', 'cod': 200}",17.79,77,0,19.48
toliary,"(-24.414777490072893, 41.75404570610965)",-24.414777490072893,41.75404570610965,"{'coord': {'lon': 41.75, 'lat': -24.41}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 71.52, 'pressure': 1033.8, 'humidity': 100, 'temp_min': 71.52, 'temp_max': 71.52, 'sea_level': 1033.76, 'grnd_level': 1033.8}, 'wind': {'speed': 4.94, 'deg': 208.504}, 'clouds': {'all': 0}, 'dt': 1529434581, 'sys': {'message': 0.0034, 'sunrise': 1529380545, 'sunset': 1529418794}, 'id': 0, 'name': '', 'cod': 200}",71.52,100,0,4.94
mataura,"(-53.50537853534649, -151.60858667321662)",-53.50537853534649,-151.60858667321662,"{'coord': {'lon': -151.61, 'lat': -53.51}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 44.52, 'pressure': 998.94, 'humidity': 94, 'temp_min': 44.52, 'temp_max': 44.52, 'sea_level': 998.94, 'grnd_level': 998.94}, 'wind': {'speed': 20.83, 'deg': 317.504}, 'clouds': {'all': 36}, 'dt': 1529434581, 'sys': {'message': 0.0043, 'sunrise': 1529432643, 'sunset': 1529459523}, 'id': 0, 'name': '', 'cod': 200}",44.52,94,36,20.83
